        test_name   |ntup| tsamples |psamples|  p-value |Assessment
   diehard_birthdays|   0|       100|     100|0.18833821|  PASSED  
      diehard_operm5|   0|   1000000|     100|0.04533398|  PASSED  
  diehard_rank_32x32|   0|     40000|     100|0.83444864|  PASSED  
    diehard_rank_6x8|   0|    100000|     100|0.81761741|  PASSED  
   diehard_bitstream|   0|   2097152|     100|0.73817707|  PASSED  
        diehard_opso|   0|   2097152|     100|0.09790803|  PASSED  
        diehard_oqso|   0|   2097152|     100|0.57240383|  PASSED  
         diehard_dna|   0|   2097152|     100|0.67244329|  PASSED  
diehard_count_1s_str|   0|    256000|     100|0.99455563|  PASSED  
diehard_count_1s_byt|   0|    256000|     100|0.66503821|  PASSED  
 diehard_parking_lot|   0|     12000|     100|0.25282458|  PASSED  
    diehard_2dsphere|   2|      8000|     100|0.94679290|  PASSED  
    diehard_3dsphere|   3|      4000|     100|0.88286367|  PASSED  
     diehard_squeeze|   0|    100000|     100|0.86716275|  PASSED  
        diehard_sums|   0|       100|     100|0.29072145|  PASSED  
        diehard_runs|   0|    100000|     100|0.05858964|  PASSED  
        diehard_runs|   0|    100000|     100|0.23169917|  PASSED  
       diehard_craps|   0|    200000|     100|0.93126124|  PASSED  
       diehard_craps|   0|    200000|     100|0.47630608|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.57101448|  PASSED  
 marsaglia_tsang_gcd|   0|  10000000|     100|0.90439992|  PASSED  
         sts_monobit|   1|    100000|     100|0.82470060|  PASSED  
            sts_runs|   2|    100000|     100|0.20987187|  PASSED  
          sts_serial|   1|    100000|     100|0.84113664|  PASSED  
          sts_serial|   2|    100000|     100|0.96089158|  PASSED  
          sts_serial|   3|    100000|     100|0.35277909|  PASSED  
          sts_serial|   3|    100000|     100|0.91734586|  PASSED  
          sts_serial|   4|    100000|     100|0.99090967|  PASSED  
          sts_serial|   4|    100000|     100|0.49106431|  PASSED  
          sts_serial|   5|    100000|     100|0.94731942|  PASSED  
          sts_serial|   5|    100000|     100|0.79744470|  PASSED  
          sts_serial|   6|    100000|     100|0.19434614|  PASSED  
          sts_serial|   6|    100000|     100|0.14804278|  PASSED  
          sts_serial|   7|    100000|     100|0.60417195|  PASSED  
          sts_serial|   7|    100000|     100|0.94910058|  PASSED  
          sts_serial|   8|    100000|     100|0.20950952|  PASSED  
          sts_serial|   8|    100000|     100|0.26799912|  PASSED  
          sts_serial|   9|    100000|     100|0.86474793|  PASSED  
          sts_serial|   9|    100000|     100|0.09013199|  PASSED  
          sts_serial|  10|    100000|     100|0.67444600|  PASSED  
          sts_serial|  10|    100000|     100|0.44399883|  PASSED  
          sts_serial|  11|    100000|     100|0.63547041|  PASSED  
          sts_serial|  11|    100000|     100|0.80168842|  PASSED  
          sts_serial|  12|    100000|     100|0.86659603|  PASSED  
          sts_serial|  12|    100000|     100|0.61317151|  PASSED  
          sts_serial|  13|    100000|     100|0.37714509|  PASSED  
          sts_serial|  13|    100000|     100|0.41636181|  PASSED  
          sts_serial|  14|    100000|     100|0.26001306|  PASSED  
          sts_serial|  14|    100000|     100|0.86892099|  PASSED  
          sts_serial|  15|    100000|     100|0.97947313|  PASSED  
          sts_serial|  15|    100000|     100|0.94870208|  PASSED  
          sts_serial|  16|    100000|     100|0.80682811|  PASSED  
          sts_serial|  16|    100000|     100|0.23906065|  PASSED  
         rgb_bitdist|   1|    100000|     100|0.35198005|  PASSED  
         rgb_bitdist|   2|    100000|     100|0.28282591|  PASSED  
         rgb_bitdist|   3|    100000|     100|0.54552001|  PASSED  
         rgb_bitdist|   4|    100000|     100|0.99392011|  PASSED  
         rgb_bitdist|   5|    100000|     100|0.09801383|  PASSED  
         rgb_bitdist|   6|    100000|     100|0.89250352|  PASSED  
         rgb_bitdist|   7|    100000|     100|0.19245717|  PASSED  
         rgb_bitdist|   8|    100000|     100|0.39913738|  PASSED  
         rgb_bitdist|   9|    100000|     100|0.23286272|  PASSED  
         rgb_bitdist|  10|    100000|     100|0.54883951|  PASSED  
         rgb_bitdist|  11|    100000|     100|0.40365781|  PASSED  
         rgb_bitdist|  12|    100000|     100|0.94107559|  PASSED  
rgb_minimum_distance|   2|     10000|    1000|0.28902200|  PASSED  
rgb_minimum_distance|   3|     10000|    1000|0.52749790|  PASSED  
rgb_minimum_distance|   4|     10000|    1000|0.71582131|  PASSED  
rgb_minimum_distance|   5|     10000|    1000|0.11863226|  PASSED  
    rgb_permutations|   2|    100000|     100|0.11631851|  PASSED  
    rgb_permutations|   3|    100000|     100|0.94693423|  PASSED  
    rgb_permutations|   4|    100000|     100|0.42068399|  PASSED  
