C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,P-VALUE,PROPORTION,STATISTICAL TEST
1,2,2,2,3,2,4,1,2,1,0.911413,20/20,Frequency
2,3,1,0,2,0,2,3,2,5,0.350485,19/20,BlockFrequency
1,1,5,2,3,3,1,1,3,0,0.350485,20/20,CumulativeSums
1,3,2,4,2,2,2,0,0,4,0.437274,20/20,CumulativeSums
2,0,1,1,3,2,2,2,4,3,0.739918,19/20,Runs
2,0,2,4,3,4,1,2,2,0,0.437274,20/20,LongestRun
0,2,0,3,2,1,0,6,3,3,0.066882,20/20,Rank
4,1,3,2,0,1,2,3,1,3,0.637119,20/20,FFT
0,2,0,3,4,5,1,2,0,3,0.122325,20/20,NonOverlappingTemplate
2,4,1,5,2,0,3,2,1,0,0.213309,20/20,NonOverlappingTemplate
3,1,3,1,3,2,3,2,1,1,0.911413,20/20,NonOverlappingTemplate
4,1,2,3,1,3,2,0,1,3,0.637119,19/20,NonOverlappingTemplate
5,2,0,2,3,0,3,2,1,2,0.350485,20/20,NonOverlappingTemplate
3,2,1,0,1,3,3,4,2,1,0.637119,20/20,NonOverlappingTemplate
0,4,3,2,2,2,1,4,2,0,0.437274,20/20,NonOverlappingTemplate
4,3,2,1,1,3,2,1,1,2,0.834308,19/20,NonOverlappingTemplate
1,1,2,3,2,0,3,3,2,3,0.834308,20/20,NonOverlappingTemplate
3,2,1,2,2,1,3,3,1,2,0.964295,20/20,NonOverlappingTemplate
1,2,2,1,2,3,3,2,1,3,0.964295,20/20,NonOverlappingTemplate
1,0,2,8,1,3,3,2,0,0,0.002043,20/20,NonOverlappingTemplate
2,1,1,3,0,0,5,3,4,1,0.162606,19/20,NonOverlappingTemplate
1,0,1,2,2,4,2,3,4,1,0.534146,20/20,NonOverlappingTemplate
4,3,2,1,1,3,2,2,2,0,0.739918,20/20,NonOverlappingTemplate
1,1,1,3,3,2,1,2,4,2,0.834308,20/20,NonOverlappingTemplate
1,4,5,2,0,2,2,3,0,1,0.213309,20/20,NonOverlappingTemplate
1,1,2,4,1,2,1,2,4,2,0.739918,20/20,NonOverlappingTemplate
3,2,5,1,0,1,4,3,1,0,0.162606,20/20,NonOverlappingTemplate
5,1,2,2,1,0,2,0,3,4,0.213309,20/20,NonOverlappingTemplate
2,1,1,4,0,2,2,4,3,1,0.534146,20/20,NonOverlappingTemplate
2,4,3,1,1,3,1,1,2,2,0.834308,20/20,NonOverlappingTemplate
3,1,4,1,1,1,1,4,3,1,0.534146,20/20,NonOverlappingTemplate
3,1,3,3,0,0,1,5,2,2,0.275709,18/20,NonOverlappingTemplate
2,2,1,4,3,2,0,1,2,3,0.739918,20/20,NonOverlappingTemplate
3,1,2,1,1,0,2,6,2,2,0.213309,20/20,NonOverlappingTemplate
